case, loop, trial, task-clock, context-switches, cpu-migrations, page-faults, cycles, instructions, branches, branch-misses, L1-dcache-loads,L1-dcache-load-misses, LLC-loads, LLC-load-misses, L1-icache-loads, L1-icache-load-misses, dTLB-load-misses, elapsed time, real, user, sys
out_case2,1600,1,49865.632658,255,0,87,30278006948,26265617361,1317940827 3343284,3343284,11819064785,168376,1784189,109700,13208904877,1361060,76,49.881634103,real 0m49.959s,user 0m49.900s,sys 0m0.010s
out_case2,1600,10,50000.090724,1279,2,87,30282965793,26302238858,1321014682 3393861,3393861,11849286515,276022,2332004,126462,13181338938,1607716,216,50.065427613,real 0m50.153s,user 0m49.979s,sys 0m0.071s
out_case2,1600,2,50315.180405,291,1,87,30515586818,26352407985,1331884038 4771347,4771347,11859085698,343425,2328273,135780,13282987906,1594960,228,50.345084956,real 0m50.436s,user 0m50.327s,sys 0m0.032s
out_case2,1600,3,50271.164363,184,4,87,30467393522,26314806730,1329717736 4614226,4614226,11860760583,303250,2170423,130908,13268840657,1515187,92,50.306917851,real 0m50.407s,user 0m50.281s,sys 0m0.034s
out_case2,1600,4,50187.722300,977,1,89,30330588291,26303987413,1323170514 3673947,3673947,11841510952,280707,2175511,114960,13188984792,1532046,18,50.227493864,real 0m50.322s,user 0m50.207s,sys 0m0.031s
out_case2,1600,5,50783.743546,392,3,87,30770716911,26506379973,1349316607 5663700,5663700,11958741024,707642,5766665,275893,13356227106,4334253,52,50.805295293,real 0m50.877s,user 0m50.757s,sys 0m0.068s
out_case2,1600,6,49866.608229,265,0,90,30247015207,26273368506,1318436270 3336093,3336093,11834043107,169944,1799916,120038,13184600244,1357549,170,49.884983694,real 0m49.972s,user 0m49.900s,sys 0m0.010s
out_case2,1600,7,49866.958602,261,0,91,30298562148,26319955814,1320758817 3330730,3330730,11822913096,152660,1766767,118977,13182310890,1377624,46,49.883349048,real 0m49.965s,user 0m49.890s,sys 0m0.020s
out_case2,1600,8,49665.193018,270,0,89,30261653775,26298173744,1320718504 3357269,3357269,11849407547,179002,1804812,123972,13166111106,1329968,40,49.682709907,real 0m49.785s,user 0m49.676s,sys 0m0.034s
out_case2,1600,9,50505.146822,347,0,90,30548230159,26374946884,1332228928 4744517,4744517,11856266162,302760,2442114,145008,13269223584,1595191,0,50.521246213,real 0m50.624s,user 0m50.522s,sys 0m0.026s
out_case2,3200,1,200950.349409,298,1,91,122130105843,105444553922,5328032239 18645764,18645764,47431631077,1171531,8103331,406155,53082652930,5987671,184,200.964475899,real 3m21.045s,user 3m20.941s,sys 0m0.053s
out_case2,3200,10,202403.223544,1198,4,87,123923234292,106341809053,5430729533 25045703,25045703,47950683638,3334248,30130288,1287074,53832979724,24160763,294,202.500617687,real 3m22.589s,user 3m22.310s,sys 0m0.136s
out_case2,3200,2,199204.834514,4834,2,88,120964569651,105048498055,5275961538 13312974,13312974,47338778324,1184960,8326716,431964,52797085623,6038389,304,199.409466686,real 3m19.498s,user 3m19.136s,sys 0m0.139s
out_case2,3200,3,200519.417699,319,5,87,122075384248,105469102666,5329824501 18637531,18637531,47453182659,1102039,7830472,461490,53051843232,5835128,106,200.554981456,real 3m20.664s,user 3m20.512s,sys 0m0.050s
out_case2,3200,4,200804.468570,283,0,87,122044574075,105422872278,5328876794 18688504,18688504,47444684989,1021772,7423534,405046,53065357054,5729445,114,200.816254616,real 3m20.888s,user 3m20.817s,sys 0m0.030s
out_case2,3200,5,199144.443229,1271,6,87,121118560155,105141311816,5275879498 13288525,13288525,47307534577,695687,6948320,400960,52782114347,5436157,284,199.250521659,real 3m19.333s,user 3m19.146s,sys 0m0.044s
out_case2,3200,6,199131.577728,1179,2,87,121024202601,105075136362,5273217353 13240341,13240341,47332161527,682657,6837811,389123,52785544028,5394174,232,199.202931893,real 3m19.310s,user 3m19.138s,sys 0m0.041s
out_case2,3200,7,201081.878671,330,4,91,122111126284,105477296615,5332158611 18764117,18764117,47449905983,1055959,7718703,492959,53044910247,5847146,278,201.110596109,real 3m21.189s,user 3m21.084s,sys 0m0.041s
out_case2,3200,8,199601.600379,4544,1,87,121136072738,105170786098,5279124776 13290129,13290129,47317930290,754955,7506933,440541,52759578823,5918746,254,199.795216952,real 3m19.893s,user 3m19.538s,sys 0m0.131s
out_case2,3200,9,200826.846654,310,0,87,122055899493,105468167441,5332073081 18769529,18769529,47481932204,1111262,7663990,480323,53022091685,5785213,296,200.853665406,real 3m20.934s,user 3m20.835s,sys 0m0.034s
out_case2,400,1,3196.565062,6,0,87,1913252608,1650331344,83686058 342275,342275,735236952,53321,317788,11159,831266048,104137,52,3.198647597,real 0m3.286s,user 0m3.205s,sys 0m0.034s
out_case2,400,10,3199.540167,12,0,87,1914537901,1650261806,83689273 345387,345387,734369848,52676,320343,16335,831401232,112136,112,3.202476760,real 0m3.307s,user 0m3.212s,sys 0m0.032s
out_case2,400,2,3205.476677,48,1,90,1918283493,1652230046,83894244 381874,381874,731846969,66657,408266,10029,831383007,159149,228,3.216880094,real 0m3.317s,user 0m3.216s,sys 0m0.034s
out_case2,400,3,3201.598860,16,0,89,1915595762,1649953044,83686133 344879,344879,733453019,54025,326540,14410,831594396,113723,118,3.205864630,real 0m3.293s,user 0m3.215s,sys 0m0.032s
out_case2,400,4,3220.606259,138,7,87,1926413067,1656074110,84309111 406551,406551,736064333,87602,580803,25870,836685690,298255,246,3.248949823,real 0m3.359s,user 0m3.204s,sys 0m0.062s
out_case2,400,5,3220.360423,49,1,87,1926689110,1656612012,84352570 397775,397775,746383998,80401,556597,20278,833258709,282381,281,3.244101375,real 0m3.354s,user 0m3.254s,sys 0m0.011s
out_case2,400,6,3171.260896,8,0,90,1870994947,1626358870,82145094 255218,255218,738781467,51662,328156,12653,826722518,96835,16,3.173620101,real 0m3.258s,user 0m3.184s,sys 0m0.031s
out_case2,400,7,3170.691154,35,0,90,1869868760,1626120355,82130854 262026,262026,738682931,53294,346827,12296,826691262,104415,83,3.175038927,real 0m3.271s,user 0m3.183s,sys 0m0.030s
out_case2,400,8,3199.873966,22,2,90,1914908555,1627237215,82738610 342565,342565,738587155,60176,393662,25204,831746813,134691,204,3.215521804,real 0m3.317s,user 0m3.208s,sys 0m0.036s
out_case2,400,9,3201.768864,10,0,87,1915907284,1650138092,82453178 343754,343754,735877874,55687,328532,23339,831430269,110460,109,3.205183152,real 0m3.298s,user 0m3.214s,sys 0m0.031s
out_case2,6400,1,803164.339703,1350,4,87,488427615333,421849768946,21315734217 74393174,74393174,189765523572,4581761,31530819,1760405,212263773434,23737621,376,803.241010388,real 13m23.327s,user 13m23.187s,sys 0m0.020s
out_case2,6400,10,799740.913383,8424,6,91,487014815411,421448503184,21259679358 68101892,68101892,189674029620,4586872,32853939,960859,211839564261,24567225,292,800.118157304,real 13m20.196s,user 13m19.684s,sys 0m0.130s
out_case2,6400,2,796546.971240,19002,1,87,484366479245,420526107806,21115491742 53260048,53260048,189312272951,3767797,31634317,1678610,211083118141,23992090,244,797.256820702,real 13m17.368s,user 13m16.143s,sys 0m0.545s
out_case2,6400,3,796571.239738,19484,1,89,484338545696,420488677143,21109390566 53045892,53045892,189322256161,3900382,31140728,1720039,211099732564,23637235,70,797.330958384,real 13m17.433s,user 13m16.230s,sys 0m0.485s
out_case2,6400,4,795840.379504,6124,5,87,484216749071,420315266784,21096569915 52993511,52993511,189259905356,2774595,27664809,1777779,211151013196,22129686,1190,796.248941231,real 13m16.328s,user 13m15.769s,sys 0m0.127s
out_case2,6400,5,798660.924007,12016,3,87,485408736606,420896336857,21170333817 59168583,59168583,189455811813,4291468,31778360,1910695,211422429267,23633573,414,799.158477961,real 13m19.277s,user 13m18.545s,sys 0m0.214s
out_case2,6400,6,796227.685947,19880,4,87,484405542200,420578104691,21113294365 53145700,53145700,189323099976,4189238,32162893,1673088,211067057190,23699207,94,796.994654301,real 13m17.115s,user 13m15.831s,sys 0m0.540s
