case, loop, trial, task-clock, context-switches, cpu-migrations, page-faults, cycles, instructions, branches, branch-misses, L1-dcache-loads,L1-dcache-load-misses, LLC-loads, LLC-load-misses, L1-icache-loads, L1-icache-load-misses, dTLB-load-misses, elapsed time, real, user, sys
out_case3,6400,4,1556715.288531,10135,10,90,940765866944,914451025043,147282861880 89506007,89506007,316100830695,7953336,60684688,3921204,520535509143,46742206,852,1557.250966691,real 25m57.353s,user 25m56.627s,sys 0m0.154s
out_case3,6400,5,1559012.295049,2970,1,90,942881545794,915174078855,147400447064 101672877,101672877,316351987935,9238287,62345306,3745649,521111685459,47175274,242,1559.139548436,real 25m59.231s,user 25m59.013s,sys 0m0.041s
out_case3,6400,6,1556918.974888,2900,4,90,942963651870,915238761443,147386685730 101575356,101575356,316304915488,8204978,58185191,3815492,521149810600,45341538,78,1557.035727227,real 25m57.132s,user 25m56.939s,sys 0m0.022s
out_case3,6400,7,1557457.064444,2290,2,92,943044263475,915272774389,147402925937 101427913,101427913,316362697745,9966223,62744869,3828896,521020147627,45363192,348,1557.561705624,real 25m57.664s,user 25m57.467s,sys 0m0.031s
out_case3,6400,8,1541472.835423,8296,1,90,935023683644,912721759599,147017185477 57273166,57273166,315374563766,5361541,54216423,3445351,518916372154,43040937,474,1541.969214293,real 25m42.061s,user 25m41.457s,sys 0m0.068s
out_case3,6400,9,1555048.003617,2781,0,90,942925773374,915263013334,147414115010 101813047,101813047,316397682275,9392449,62181235,3861549,521000432194,45762663,146,1555.171699971,real 25m55.253s,user 25m55.066s,sys 0m0.020s
out_case3,800,1,23516.830177,46,0,90,14233242651,13803284761,2300744556 1616224,1616224,4948824763,181251,1145447,39361,7883740529,695994,6,23.521118836,real 0m23.625s,user 0m23.523s,sys 0m0.038s
out_case3,800,10,23628.327209,111,6,88,14286237328,13847332554,2304179935 1684070,1684070,4940826908,210858,1282886,37219,7892282750,761272,390,23.691050877,real 0m23.791s,user 0m23.651s,sys 0m0.020s
out_case3,800,2,23921.031321,148,0,88,14463798220,13918144200,2313601891 2548138,2548138,5002203531,480116,3986762,198519,7960643245,2892822,126,23.934131534,real 0m24.035s,user 0m23.903s,sys 0m0.060s
out_case3,800,3,23710.924867,190,2,89,14244450122,13795823286,2300082507 1591478,1591478,4942971240,168556,1192391,35402,7889106543,733764,110,23.736206666,real 0m23.814s,user 0m23.734s,sys 0m0.021s
out_case3,800,4,23492.540539,616,1,90,14138301086,13783350616,2294941870 974084,974084,4919681204,168895,1206191,30709,7875377592,714845,194,23.521964129,real 0m23.627s,user 0m23.500s,sys 0m0.036s
out_case3,800,5,23842.106232,282,3,90,14425631523,13907337939,2309887610 2443019,2443019,5003228749,488500,3800277,99244,7935132406,2649423,273,23.887289411,real 0m23.961s,user 0m23.845s,sys 0m0.040s
out_case3,800,6,23320.326376,175,0,88,14152935136,13763266471,2292487084 951478,951478,4921093702,123888,1072749,39391,7870538633,700094,194,23.343189916,real 0m23.460s,user 0m23.352s,sys 0m0.011s
out_case3,800,7,23425.907316,544,0,88,14106336199,13772163658,2298139610 947418,947418,4937382830,134887,1153730,34386,7853071965,747594,6,23.448917963,real 0m23.526s,user 0m23.404s,sys 0m0.067s
out_case3,800,8,23518.759389,117,0,88,14149308706,13797785378,2296815439 937169,937169,4925325296,104032,980229,33051,7851415673,650460,4,23.527513927,real 0m23.624s,user 0m23.546s,sys 0m0.017s
out_case3,800,9,23626.086586,238,0,88,14260945956,13832292113,2303438160 1664896,1664896,4939221500,190859,1279992,44879,7883242569,810669,18,23.653998005,real 0m23.753s,user 0m23.650s,sys 0m0.020s
